iter	Logloss
0	0.601813834
1	0.5020760244
2	0.4472471876
3	0.4028682061
4	0.3674729878
5	0.3397845689
6	0.3121210296
7	0.2917499272
8	0.2749039521
9	0.2575189534
10	0.2473691131
11	0.2377531299
12	0.2279310596
13	0.2212511501
14	0.2100358118
15	0.2025732487
16	0.1942301486
17	0.1877937992
18	0.1832380206
19	0.1797364821
20	0.1766269938
21	0.1724833819
22	0.1681075528
23	0.1659676394
24	0.1636304716
25	0.1615296562
26	0.1591232878
27	0.1572188137
28	0.1557160917
29	0.1541992716
30	0.1527117345
31	0.1511750201
32	0.149515534
33	0.1482199341
34	0.1447921886
35	0.1437618647
36	0.1428307418
37	0.1418334842
38	0.1405886229
39	0.1393059041
40	0.1385383944
41	0.1375508965
42	0.1359835353
43	0.1347066772
44	0.1327071718
45	0.1316579839
46	0.1304422073
47	0.1299835053
48	0.129542067
49	0.1290790795
50	0.1285284109
51	0.1280240988
52	0.1272417245
53	0.1265525024
54	0.1258799662
55	0.1248606954
56	0.1242195668
57	0.1240464351
58	0.1227505283
59	0.121931058
60	0.1214669101
61	0.1209628525
62	0.1204269886
63	0.1197951646
64	0.1188689864
65	0.1179640958
66	0.1175381991
67	0.1170936215
68	0.1167482307
69	0.1164256232
70	0.1161022815
71	0.1154265804
72	0.1143862076
73	0.1141024729
74	0.1138525666
75	0.1134943158
76	0.1132629975
77	0.1129337597
78	0.1123692236
79	0.1120446477
80	0.1117097724
81	0.1108358571
82	0.1102780261
83	0.10995731
84	0.1098577788
85	0.109268734
86	0.1090128595
87	0.1087986307
88	0.1081521031
89	0.1079693408
90	0.1077514543
91	0.1075284039
92	0.1071406277
93	0.1070248414
94	0.1068192752
95	0.1064462277
96	0.105930259
97	0.1056716973
98	0.1054190624
99	0.1051352861
100	0.1047669225
101	0.1044768562
102	0.104172734
103	0.1039212767
104	0.1034243808
105	0.1032077613
106	0.1030340771
107	0.1025610828
108	0.1022940489
109	0.1021190627
110	0.1017958655
111	0.1015856236
112	0.1011752008
113	0.1008759142
114	0.1006960032
115	0.1005649589
116	0.1003043143
117	0.100093061
118	0.09991733907
119	0.09958898581
120	0.09921663289
121	0.09913568176
122	0.09904910762
123	0.09889774089
124	0.09878141839
125	0.09821768448
126	0.09799587153
127	0.09754579418
128	0.09739662613
129	0.0971498006
130	0.09695996611
131	0.09681712618
132	0.09666547262
133	0.09659351937
134	0.09652904201
135	0.09632925385
136	0.09623254362
137	0.09602706945
138	0.09577166318
139	0.09565183984
140	0.09545661739
141	0.09528110462
142	0.09517545316
143	0.09507365537
144	0.09483086882
145	0.09478795921
146	0.09421553714
147	0.09409616194
148	0.09391828408
149	0.09377274883
150	0.09359270321
151	0.09354358194
152	0.09317009911
153	0.09293984067
154	0.09282618172
155	0.09263612245
156	0.09235135904
157	0.09225291083
158	0.09214411495
159	0.09201086714
160	0.09180720498
161	0.09176297425
162	0.09165627459
163	0.09153525351
164	0.09133318813
165	0.09112345302
166	0.09093597642
167	0.09073729031
168	0.09054804594
169	0.09034701712
170	0.09030901048
171	0.09019725487
172	0.09003023451
173	0.08989352314
174	0.08972230749
175	0.08968370716
176	0.08922614754
177	0.08908840802
178	0.0889682949
179	0.08887340964
180	0.08877974125
181	0.08868901715
182	0.08861686741
183	0.08853351936
184	0.0884626794
185	0.08836851561
186	0.08826909055
187	0.08808974838
188	0.08803036769
189	0.08792325115
190	0.08764406628
191	0.08752534125
192	0.08747909236
193	0.08729067963
194	0.08725212298
195	0.08703277914
196	0.08689005226
197	0.08681303694
198	0.0867343416
199	0.08660173165
200	0.08652604376
201	0.08642784456
202	0.08631279732
203	0.0862005757
204	0.08612857167
